Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25100784,AMPLICON,602,55089622,PRJNA989655,SAMN36181841,Metagenome or environmental,34570114,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20853974,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,98_D178_myco,44.555881 N 123.214569 W,98_D178_myco_D178,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,98_D178_myco,SRP446870
SRR25100785,AMPLICON,602,34360956,PRJNA989655,SAMN36181840,Metagenome or environmental,21799080,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20853973,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,121_D89_myco,44.555881 N 123.214569 W,121_D89_myco_D89,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:40:00Z,1,121_D89_myco,SRP446870
SRR25100786,AMPLICON,602,24981194,PRJNA989655,SAMN36181839,Metagenome or environmental,15467714,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20853972,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,109_D6_myco,44.555881 N 123.214569 W,109_D6_myco_D6,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:40:00Z,1,109_D6_myco,SRP446870
SRR25100787,AMPLICON,602,39387054,PRJNA989655,SAMN36181838,Metagenome or environmental,24730555,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20853971,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,97_D178_myco,44.555881 N 123.214569 W,97_D178_myco_D178,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:40:00Z,1,97_D178_myco,SRP446870
SRR25100788,AMPLICON,602,15321502,PRJNA989655,SAMN36181837,Metagenome or environmental,9987312,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20853970,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,96_A6_myco,44.555881 N 123.214569 W,96_A6_myco_A6,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:40:00Z,1,96_A6_myco,SRP446870
SRR25100789,AMPLICON,602,26149676,PRJNA989655,SAMN36181836,Metagenome or environmental,16807846,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20853969,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,84_C106_myco,44.555881 N 123.214569 W,84_C106_myco_C106,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,84_C106_myco,SRP446870
SRR25100790,AMPLICON,602,16348514,PRJNA989655,SAMN36181835,Metagenome or environmental,10428871,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX20853968,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,72_B22_myco,44.555881 N 123.214569 W,72_B22_myco_B22,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,72_B22_myco,SRP446870
SRR25100791,AMPLICON,602,29600340,PRJNA989655,SAMN36181834,Metagenome or environmental,18852550,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX20853967,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,60_D149_myco,44.555881 N 123.214569 W,60_D149_myco_D149,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,60_D149_myco,SRP446870
SRR25100792,AMPLICON,602,13076042,PRJNA989655,SAMN36181833,Metagenome or environmental,8329023,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX20853966,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,48_D17_myco,44.555881 N 123.214569 W,48_D17_myco_D17,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,48_D17_myco,SRP446870
SRR25100793,AMPLICON,602,26684854,PRJNA989655,SAMN36181789,Metagenome or environmental,16691461,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20853965,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,90_D160_myco,44.555881 N 123.214569 W,90_D160_myco_D160,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,90_D160_myco,SRP446870
