"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"SRR25070549",67321,35807,32566,34154,24350,24252
"SRR25070550",57094,30820,27787,28985,20522,20480
"SRR25070551",66172,35835,32634,34227,25084,25016
"SRR25070552",57361,30725,28202,29255,22137,22034
"SRR25070553",56146,31206,28456,29697,22295,22186
"SRR25070554",69609,37407,34069,35691,26329,26226
"SRR25070555",44219,24377,21964,22970,17139,17039
"SRR25070556",71150,38132,34593,36266,25871,25749
"SRR25070557",44784,24354,23392,23761,21005,20401
"SRR25070558",64765,34938,31779,33195,23910,23769
"SRR25070559",49108,26282,23776,24902,17348,17311
"SRR25070560",40670,22140,19880,20873,14714,14714
"SRR25070561",64309,34585,31709,33115,24397,24211
"SRR25070562",63304,34160,30822,32284,22772,22728
"SRR25070563",64693,34214,30996,32435,23011,22910
"SRR25070564",59668,32581,29904,30981,22654,22590
"SRR25070565",27084,14871,13074,13888,9413,9413
"SRR25070566",44124,24212,21795,22907,16877,16848
"SRR25070567",78274,41971,38765,40054,30221,30051
"SRR25070568",67836,36955,34068,35371,27118,26714
"SRR25070569",65534,34700,31588,33045,23099,23049
"SRR25070570",69190,37010,33647,35202,24411,24355
"SRR25070571",72964,38667,35469,36668,25870,25692
"SRR25070572",67775,36158,32897,34357,24289,24175
"SRR25070573",56837,30792,27708,29060,20707,20552
"SRR25070574",75779,40851,37627,39058,29370,29258
"SRR25070575",62038,34059,31049,32502,24076,23993
"SRR25070576",59751,32521,29790,30938,22957,22901
"SRR25070577",65885,35428,32482,33640,24632,24556
"SRR25070578",21123,11311,9489,10352,6294,6294
"SRR25070579",53691,29363,26615,27803,19886,19842
"SRR25070580",58172,32096,29376,30605,22164,22067
"SRR25070581",66656,35927,33229,34292,26310,26281
"SRR25070582",47367,25657,23154,24271,17663,17658
"SRR25070583",39165,21430,19021,20141,14038,13996
"SRR25070584",55150,29978,26975,28160,19838,19791
"SRR25070585",59652,32598,29553,30887,22305,22305
"SRR25070586",63720,34558,31315,32733,23353,23237
"SRR25070587",69581,38094,34915,36336,26461,26371
"SRR25070588",67430,36055,33023,34413,25611,25611
"SRR25070589",87692,46979,43446,44811,34070,33856
"SRR25070590",61840,33642,30382,31952,21950,21805
"SRR25070591",77035,42058,38227,40012,28635,28520
"SRR25070592",69310,37444,34149,35534,25251,25090
"SRR25070593",53650,28960,26123,27464,19364,19364
"SRR25070594",52713,28259,25477,26622,19343,19296
"SRR25070595",68872,37079,34170,35543,27284,27109
"SRR25070596",74498,39918,36632,37789,27544,27503
"SRR25070597",69971,37912,35030,36377,28227,28227
"SRR25070598",68108,36550,33278,34648,24866,24766
"SRR25070599",71222,38185,34792,36172,25034,24923
"SRR25070600",29190,16128,13806,14881,9508,9508
"SRR25070601",27611,15290,13170,14088,9276,9276
"SRR25070602",48221,26186,23437,24653,16950,16906
"SRR25070603",40280,21717,19032,20290,13162,13162
"SRR25070604",28578,15743,13890,14588,9982,9982
"SRR25070605",62911,34293,31399,32588,24472,24430
"SRR25070606",68524,37205,34416,35646,27831,27784
