"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"SRR25100784",87817,44307,43954,43932,39336,39148
"SRR25100785",54968,27666,27205,27251,23786,23712
"SRR25100786",40083,21151,20902,20948,19332,19270
"SRR25100787",63244,32303,31907,32053,29404,29314
"SRR25100788",24389,11948,11617,11621,10647,10647
"SRR25100789",41720,20310,19483,19997,18061,17956
"SRR25100790",26117,13319,12963,13050,12307,12307
"SRR25100791",47317,23799,23475,23431,21149,20895
"SRR25100792",21058,10726,10376,10502,9484,9476
"SRR25100793",42835,22223,21926,21853,19266,19266
"SRR25100794",43703,22126,21671,21849,20327,20276
"SRR25100795",25309,12339,12039,12089,11316,11300
"SRR25100796",23652,11934,11576,11733,10591,10546
"SRR25100797",24396,11763,11569,11567,10871,10871
"SRR25100798",8794,4380,4145,4182,3676,3656
"SRR25100799",37221,18862,18554,18629,16821,16792
"SRR25100800",35374,18487,18124,18289,16901,16901
"SRR25100801",37210,19414,18992,19073,17530,17466
"SRR25100802",44989,22350,22110,22115,21243,20923
"SRR25100803",38389,19630,19307,19419,16821,16758
"SRR25100804",33961,16774,16503,16515,14533,14442
"SRR25100805",8213,4159,3985,4004,3633,3633
"SRR25100806",10391,5203,5030,5031,4782,4782
"SRR25100807",31827,16167,15761,15892,14215,14215
"SRR25100808",20140,9576,9413,9391,8621,8621
"SRR25100809",34275,16941,16540,16577,14524,14424
"SRR25100810",38243,19568,19192,19217,16895,16793
"SRR25100811",18570,9425,9147,9222,7500,7500
"SRR25100812",21721,11309,11114,11108,9900,9900
"SRR25100813",39004,18272,17999,18048,16587,16566
"SRR25100814",51354,25549,25234,25292,23409,23305
"SRR25100815",54463,26724,26305,26366,24151,24066
"SRR25100816",28338,14398,14028,14186,12913,12913
"SRR25100817",40623,19717,19414,19368,17461,17441
"SRR25100818",31476,15467,14972,15113,14076,14042
"SRR25100819",12028,6277,6063,6138,5581,5581
"SRR25100820",22509,11550,11353,11396,10364,10359
"SRR25100821",50511,25560,25280,25236,22184,21941
"SRR25100822",22843,11338,11065,11068,10393,10347
"SRR25100823",45854,22699,22366,22234,20643,20586
"SRR25100824",56960,28523,28211,28118,26008,25855
"SRR25100825",29138,14642,14358,14397,12817,12790
"SRR25100826",24433,12119,11875,11922,10620,10594
"SRR25100827",14574,6958,6743,6766,6080,6080
"SRR25100828",46795,23478,23162,23131,20725,20671
"SRR25100829",11819,5840,5599,5680,5059,5059
"SRR25100832",2097,1071,1065,1069,1065,1065
"SRR25100833",2292,1100,1098,1098,1098,1098
"SRR25100834",797,400,342,398,342,342
"SRR25100835",69483,35809,35497,35338,31715,31663
"SRR25100836",45370,21983,21656,21675,19631,19620
"SRR25100837",35446,17244,16662,17004,15367,14887
"SRR25100838",91046,45827,45381,45321,41423,41387
"SRR25100839",111175,56066,55651,55616,48896,48671
"SRR25100840",100894,48886,48245,48394,44110,44015
"SRR25100841",21464,10494,10287,10208,9116,9116
"SRR25100842",26861,13517,13255,13251,12237,12183
"SRR25100843",54500,27251,26852,26984,23887,23887
"SRR25100844",14647,7527,7273,7318,6572,6566
"SRR25100845",36690,18529,18263,18313,16584,16548
"SRR25100846",65779,34153,33902,33807,29309,29144
"SRR25100847",40624,20004,19724,19723,16798,16671
"SRR25100848",45684,24888,24674,24714,21433,21356
"SRR25100849",61614,29982,29620,29654,26479,26259
"SRR25100850",32083,16453,16106,16275,14629,14594
"SRR25100851",34134,17122,16814,16852,15493,15356
"SRR25100852",19402,10247,9949,10066,9199,9199
"SRR25100853",35820,18060,17825,17768,16046,16029
"SRR25100854",26606,13137,12707,12802,11327,11327
"SRR25100855",10917,5598,5326,5402,5038,5038
"SRR25100856",22336,11345,11081,11168,9567,9567
