"","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center.Name","Collection_Date","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Host","Instrument","isolation_source","lat_lon","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","create_date","version","Sample.Name","SRA.Study","amplicon"
"1","SRR25070549","AMPLICON",602,40527242,"PRJNA988238","SAMN36007567","Metagenome or environmental",23666146,"OREGON STATE UNIVERSITY","2020-07","public","sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1","SRX20824708","USA","North America","USA: Corvallis\, OR","60_D149","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","60_D149","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"60_D149","SRP446524","16S"
"2","SRR25070550","AMPLICON",602,34370588,"PRJNA988238","SAMN36007566","Metagenome or environmental",19654838,"OREGON STATE UNIVERSITY","2020-07","public","fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public","SRX20824707","USA","North America","USA: Corvallis\, OR","48_D17","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","48_D17","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"48_D17","SRP446524","16S"
"3","SRR25070551","AMPLICON",602,39835544,"PRJNA988238","SAMN36007565","Metagenome or environmental",22891844,"OREGON STATE UNIVERSITY","2020-07","public","fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1","SRX20824706","USA","North America","USA: Corvallis\, OR","36_BV","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","36_BV","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"36_BV","SRP446524","16S"
"4","SRR25070552","AMPLICON",602,34531322,"PRJNA988238","SAMN36007484","Metagenome or environmental",19935456,"OREGON STATE UNIVERSITY","2020-07","public","run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","SRX20824705","USA","North America","USA: Corvallis\, OR","14_C45","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","14_C45","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"14_C45","SRP446524","16S"
"5","SRR25070553","AMPLICON",602,33799892,"PRJNA988238","SAMN36007564","Metagenome or environmental",18810523,"OREGON STATE UNIVERSITY","2020-07","public","fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public","SRX20824704","USA","North America","USA: Corvallis\, OR","24_B21","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","24_B21","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"24_B21","SRP446524","16S"
"6","SRR25070554","AMPLICON",602,41904618,"PRJNA988238","SAMN36007563","Metagenome or environmental",24075206,"OREGON STATE UNIVERSITY","2020-07","public","fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1","SRX20824703","USA","North America","USA: Corvallis\, OR","12_A78","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","12_A78","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"12_A78","SRP446524","16S"
"7","SRR25070555","AMPLICON",602,26619838,"PRJNA988238","SAMN36007562","Metagenome or environmental",14951875,"OREGON STATE UNIVERSITY","2020-07","public","run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1","SRX20824702","USA","North America","USA: Corvallis\, OR","95_A6","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","95_A6","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"95_A6","SRP446524","16S"
"8","SRR25070556","AMPLICON",602,42832300,"PRJNA988238","SAMN36007561","Metagenome or environmental",24715319,"OREGON STATE UNIVERSITY","2020-07","public","run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1","SRX20824701","USA","North America","USA: Corvallis\, OR","83_C106","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","83_C106","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"83_C106","SRP446524","16S"
"9","SRR25070557","AMPLICON",602,26959968,"PRJNA988238","SAMN36007560","Metagenome or environmental",15430951,"OREGON STATE UNIVERSITY","2020-07","public","sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","SRX20824700","USA","North America","USA: Corvallis\, OR","71_B22","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","71_B22","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"71_B22","SRP446524","16S"
"10","SRR25070558","AMPLICON",602,38988530,"PRJNA988238","SAMN36007559","Metagenome or environmental",22462676,"OREGON STATE UNIVERSITY","2020-07","public","fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public","SRX20824699","USA","North America","USA: Corvallis\, OR","59_D149","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","59_D149","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"59_D149","SRP446524","16S"
